Battery_ID,Voltage_V,Current_A,Temperature_C,Charge_Cycles,State_of_Health_%,RUL_Cycles
BAT-007,4.06,1.4,39.4,309,91.92,829.0
BAT-005,3.1,1.45,20.5,1148,70.53,407.0
BAT-001,3.99,1.75,28.4,354,92.35,871.0
BAT-007,3.43,1.44,26.2,56,97.68,961.0
BAT-007,3.39,1.39,21.3,415,88.36,765.0
BAT-009,4.17,1.45,34.4,572,85.29,705.0
BAT-003,3.24,1.68,25.5,478,89.24,794.0
BAT-009,3.83,1.57,42.3,840,77.45,556.0
BAT-001,3.99,2.21,45.4,796,78.49,571.0
BAT-001,3.05,0.6,36.4,416,90.42,809.0
BAT-004,3.8,2.17,49.5,362,89.75,780.0
BAT-009,4.14,2.19,33.5,587,84.5,673.0
BAT-006,3.15,1.07,35.4,970,74.28,484.0
BAT-003,4.08,1.43,49.7,1127,70.45,403.0
BAT-001,3.71,1.38,26.9,914,77.78,562.0
BAT-004,3.74,0.94,48.3,831,77.32,548.0
BAT-009,3.74,1.29,21.3,383,90.1,794.0
BAT-003,3.36,0.59,33.4,847,77.91,560.0
BAT-009,4.12,1.06,22.1,397,89.93,794.0
BAT-007,4.14,2.13,41.9,322,89.95,820.0
BAT-004,3.75,1.07,38.3,1012,72.77,459.0
BAT-003,3.94,2.14,41.2,769,79.42,573.0
BAT-010,3.73,1.56,31.2,549,85.01,718.0
BAT-005,3.58,2.26,31.1,1166,70.42,402.0
BAT-005,3.79,1.65,21.4,734,79.55,581.0
BAT-003,3.66,0.56,30.5,128,95.65,934.0
BAT-009,3.72,1.85,47.9,671,82.04,644.0
BAT-004,3.94,0.59,31.4,996,73.56,478.0
BAT-005,3.58,1.4,44.9,407,88.42,776.0
BAT-004,3.05,2.36,45.3,667,80.48,608.0
BAT-005,3.2,0.83,31.2,556,86.26,719.0
BAT-007,3.53,1.28,39.0,625,82.68,650.0
BAT-009,3.87,1.96,22.9,293,92.34,863.0
BAT-007,3.71,2.26,23.1,555,86.18,726.0
BAT-005,3.78,1.84,21.5,471,86.88,751.0
BAT-010,3.58,1.02,37.4,1160,70.73,414.0
BAT-010,3.74,1.85,32.8,266,93.88,870.0
BAT-007,3.39,1.09,36.4,1058,72.05,426.0
BAT-010,3.56,1.94,35.6,379,89.99,806.0
BAT-005,3.89,2.41,30.5,699,82.75,672.0
BAT-003,4.05,1.94,40.3,440,87.38,739.0
BAT-007,3.52,2.23,42.8,430,86.37,732.0
BAT-002,3.05,0.5,20.4,791,81.82,623.0
BAT-009,3.19,1.94,26.2,869,77.76,550.0
BAT-010,3.03,2.16,41.4,722,79.7,597.0
BAT-010,3.78,0.58,31.6,562,86.93,721.0
BAT-001,3.4,2.24,39.9,998,74.17,483.0
BAT-006,3.65,1.01,30.4,979,75.24,496.0
BAT-007,3.59,1.83,31.7,962,74.31,492.0
BAT-008,3.1,2.1,24.8,693,83.48,668.0
BAT-010,3.48,1.83,27.7,476,90.72,824.0
BAT-009,3.26,0.68,38.2,551,85.79,713.0
BAT-002,3.5,1.69,33.0,779,80.22,591.0
BAT-010,3.24,1.6,43.2,120,95.9,903.0
BAT-002,4.01,2.3,45.6,527,84.44,670.0
BAT-005,3.21,1.31,36.2,506,85.89,724.0
BAT-005,4.15,1.14,42.7,238,91.92,864.0
BAT-006,3.5,2.0,29.2,340,90.5,814.0
BAT-003,4.02,1.33,32.4,969,74.68,510.0
BAT-008,3.75,1.79,41.4,341,89.48,801.0
BAT-001,3.88,1.79,31.6,805,78.97,574.0
BAT-006,3.92,2.28,37.7,426,87.81,769.0
BAT-004,3.61,1.7,25.6,557,86.26,720.0
BAT-001,3.65,1.5,38.0,577,84.35,683.0
BAT-007,3.62,0.78,45.8,608,82.88,656.0
BAT-009,3.71,0.73,46.1,1104,71.82,435.0
BAT-004,3.04,0.81,41.7,309,90.68,820.0
BAT-004,3.47,0.84,42.4,470,88.72,768.0
BAT-006,3.73,1.78,36.7,353,90.35,816.0
BAT-003,3.72,1.98,37.5,991,73.52,479.0
BAT-006,3.95,1.56,24.0,1112,73.55,474.0
BAT-007,3.79,2.16,33.3,591,84.31,706.0
BAT-010,4.19,2.48,33.5,1139,68.28,378.0
BAT-010,3.34,2.14,48.8,157,93.7,885.0
BAT-003,3.43,1.89,32.9,317,91.03,821.0
BAT-007,3.46,1.56,36.5,271,93.68,877.0
BAT-003,3.56,1.4,36.0,1163,68.93,384.0
BAT-002,4.0,0.67,39.1,742,79.71,594.0
BAT-010,3.28,1.3,42.4,304,91.92,835.0
BAT-004,3.93,2.32,26.8,302,92.67,829.0
BAT-008,3.49,2.12,35.9,306,91.09,829.0
BAT-009,3.72,0.93,44.8,432,86.47,740.0
BAT-007,3.76,1.43,33.9,491,87.19,732.0
BAT-001,3.45,2.13,28.4,648,83.44,675.0
BAT-003,3.62,0.63,39.6,1163,68.69,368.0
BAT-009,3.5,1.27,44.7,439,86.34,723.0
BAT-001,3.08,2.2,21.9,631,83.41,681.0
BAT-009,3.52,1.31,43.3,1117,69.25,375.0
BAT-008,3.12,0.66,44.6,647,82.79,646.0
BAT-001,3.49,1.59,33.8,68,98.21,982.0
BAT-006,3.71,2.22,49.5,1174,69.14,381.0
BAT-005,3.7,1.68,43.6,656,81.74,647.0
BAT-006,3.8,0.95,43.2,82,95.89,902.0
BAT-010,3.11,1.27,42.4,911,75.26,490.0
BAT-005,3.78,1.4,24.5,204,95.92,909.0
BAT-006,3.37,1.66,26.5,954,74.18,479.0
BAT-005,3.48,2.02,33.9,454,87.24,731.0
BAT-005,4.03,0.7,27.9,893,76.5,534.0
BAT-004,3.01,2.28,32.5,796,80.71,619.0
BAT-003,3.71,0.52,46.7,1190,67.61,343.0
BAT-003,3.72,1.24,44.7,320,88.39,760.0
BAT-004,3.48,0.55,38.9,819,78.36,560.0
BAT-009,3.28,1.29,45.7,221,92.03,829.0
BAT-002,3.28,1.55,43.5,323,89.52,761.0
BAT-009,4.06,1.52,32.9,308,90.85,816.0
BAT-001,3.53,0.83,26.0,471,87.42,744.0
BAT-001,3.4,1.79,35.4,413,89.34,784.0
BAT-005,3.54,0.59,42.1,427,87.84,747.0
BAT-006,3.8,2.02,33.1,629,83.27,673.0
BAT-006,3.17,2.39,40.0,940,73.9,502.0
BAT-003,3.54,1.18,22.8,771,80.56,603.0
BAT-007,3.71,1.53,42.4,930,75.27,519.0
BAT-009,4.14,1.26,44.4,1171,69.09,385.0
BAT-010,3.3,0.51,41.2,654,82.19,644.0
BAT-008,3.43,1.27,49.0,71,94.9,895.0
BAT-006,3.46,2.08,44.8,432,84.82,696.0
BAT-008,3.73,1.69,47.1,183,95.02,912.0
BAT-005,3.43,0.7,48.0,1098,68.94,367.0
BAT-008,3.64,2.19,44.0,552,82.33,644.0
BAT-010,3.94,1.56,40.2,1158,69.66,406.0
BAT-004,3.85,2.18,20.2,193,93.47,879.0
BAT-010,3.54,1.66,34.0,273,91.47,818.0
BAT-008,4.04,1.62,37.1,269,92.61,850.0
BAT-010,3.67,0.71,29.1,228,95.66,920.0
BAT-002,3.65,0.83,29.5,482,87.88,764.0
BAT-005,3.04,2.44,48.8,314,89.33,796.0
BAT-009,4.18,0.96,46.8,1003,72.7,458.0
BAT-004,3.15,2.45,45.5,478,84.19,689.0
BAT-006,3.28,1.56,32.2,465,87.21,748.0
BAT-001,3.06,0.77,20.4,776,80.15,619.0
BAT-009,3.77,0.7,22.4,246,94.0,876.0
BAT-001,3.27,0.92,29.4,1126,73.36,468.0
BAT-005,3.22,2.35,20.5,529,84.84,687.0
BAT-004,3.11,1.33,20.5,939,76.12,510.0
BAT-003,3.12,1.29,47.5,974,71.57,435.0
BAT-006,3.7,1.13,41.2,172,93.58,864.0
BAT-002,3.83,0.79,29.3,827,78.03,560.0
BAT-003,3.48,1.48,24.0,397,88.58,788.0
BAT-005,3.58,0.76,35.3,78,97.93,974.0
BAT-009,3.82,2.17,20.2,1024,74.66,515.0
BAT-002,3.02,1.24,48.2,84,96.38,944.0
BAT-010,3.39,1.25,32.4,672,81.92,663.0
BAT-008,4.17,1.45,32.1,638,83.27,670.0
BAT-002,3.7,1.39,31.7,1140,72.42,439.0
BAT-005,3.31,2.49,22.1,953,76.17,513.0
BAT-007,3.63,1.59,39.1,569,85.17,717.0
BAT-008,3.41,0.68,42.0,171,93.41,869.0
BAT-001,3.64,1.71,40.3,389,89.46,791.0
BAT-006,3.15,0.8,24.2,224,93.85,872.0
BAT-001,3.16,0.56,37.4,646,80.72,610.0
BAT-002,3.17,2.44,37.1,500,86.28,730.0
BAT-001,4.13,2.05,46.1,606,82.27,635.0
BAT-005,3.88,2.46,31.4,1089,70.51,413.0
BAT-010,3.19,1.46,31.1,58,98.13,978.0
BAT-009,3.23,1.56,38.6,383,88.18,742.0
BAT-006,3.88,0.84,39.0,1066,75.04,485.0
BAT-001,3.19,0.99,34.1,376,88.23,771.0
BAT-001,3.28,2.18,33.3,64,96.36,941.0
BAT-002,4.16,1.21,34.8,888,77.69,549.0
BAT-009,3.31,2.15,45.8,275,90.91,798.0
BAT-003,3.79,1.92,33.8,162,95.92,933.0
BAT-001,4.17,0.85,48.2,50,96.81,928.0
BAT-005,3.45,1.51,35.1,315,90.53,807.0
BAT-007,3.02,1.85,48.5,1001,71.25,428.0
BAT-006,3.29,0.97,45.0,355,90.2,797.0
BAT-001,4.0,2.16,30.9,61,96.6,923.0
BAT-005,4.04,1.59,45.9,986,73.82,468.0
BAT-005,3.92,0.83,23.3,469,89.19,802.0
BAT-006,3.14,1.67,47.8,938,74.15,495.0
BAT-003,3.95,2.5,38.9,220,92.8,862.0
BAT-005,4.1,0.8,21.6,183,94.44,867.0
BAT-007,3.72,2.13,39.3,1014,73.68,479.0
BAT-005,4.13,0.91,49.2,1098,67.08,347.0
BAT-005,3.99,2.06,22.1,707,83.04,648.0
BAT-005,3.8,1.97,36.6,1165,69.83,399.0
BAT-010,3.69,1.1,42.4,228,92.33,857.0
BAT-010,3.42,1.15,44.3,1129,70.09,407.0
BAT-003,3.19,2.09,32.4,160,93.88,871.0
BAT-001,3.73,1.42,26.1,186,92.82,857.0
BAT-005,3.38,1.96,21.3,281,93.44,876.0
BAT-009,4.04,0.8,37.4,1041,74.05,482.0
BAT-001,4.19,2.21,33.6,517,84.48,702.0
BAT-003,3.9,1.92,48.5,781,77.08,545.0
BAT-004,3.11,2.31,21.8,530,87.5,758.0
BAT-001,3.35,0.76,40.6,1141,70.28,414.0
BAT-001,3.13,1.69,20.7,863,81.39,617.0
BAT-008,3.78,1.7,25.1,1043,74.99,500.0
BAT-002,3.92,1.21,33.6,372,90.67,810.0
BAT-008,4.11,1.42,33.6,971,74.1,492.0
BAT-007,3.53,0.58,40.6,953,75.14,507.0
BAT-010,4.08,1.99,47.3,655,82.89,656.0
BAT-010,4.05,1.6,39.2,478,86.47,717.0
BAT-002,3.38,0.62,48.6,197,92.6,836.0
BAT-006,4.04,1.86,46.4,1191,68.22,368.0
BAT-006,3.45,1.43,37.5,899,75.61,505.0
BAT-003,3.36,0.57,45.0,416,87.87,764.0
BAT-002,3.78,2.44,39.3,899,76.34,510.0
BAT-001,3.39,2.4,22.4,1139,73.0,476.0
BAT-006,3.76,1.53,42.2,862,76.54,537.0
BAT-005,3.73,0.69,22.8,224,95.07,902.0
BAT-009,3.68,2.01,37.8,637,82.63,669.0
BAT-001,3.46,1.48,41.1,544,85.43,718.0
BAT-007,3.66,1.1,22.0,1022,74.2,479.0
BAT-005,3.72,1.48,26.9,1187,70.71,415.0
BAT-005,3.65,1.54,47.5,1184,68.88,358.0
BAT-002,3.53,1.63,38.5,84,95.48,920.0
BAT-003,3.02,1.38,27.4,1048,74.66,490.0
BAT-007,3.7,1.71,40.7,587,83.59,652.0
BAT-006,3.2,2.34,37.9,799,78.26,553.0
BAT-002,3.77,1.22,35.0,1087,71.11,431.0
BAT-006,3.91,1.95,49.3,423,87.29,762.0
BAT-002,3.6,2.29,40.5,606,83.3,666.0
BAT-002,3.65,1.41,31.3,282,92.69,844.0
BAT-002,4.14,1.39,44.0,754,79.64,579.0
BAT-003,4.02,1.7,46.5,612,83.15,677.0
BAT-002,4.1,1.68,23.8,988,78.08,566.0
BAT-004,3.98,2.11,26.0,936,76.54,527.0
BAT-009,3.13,1.45,26.5,775,79.74,589.0
BAT-006,3.18,2.49,40.7,125,93.28,872.0
BAT-001,3.63,0.62,38.1,488,85.3,712.0
BAT-008,3.3,0.51,38.6,748,81.18,615.0
BAT-007,3.57,1.78,48.2,964,74.3,475.0
BAT-010,3.47,1.1,43.3,940,73.32,456.0
BAT-003,3.66,0.98,23.8,741,83.94,674.0
BAT-001,3.9,1.12,30.4,302,92.23,838.0
BAT-005,3.86,1.01,33.1,1199,69.68,410.0
BAT-004,3.63,0.56,31.9,1110,73.81,471.0
BAT-010,3.99,2.44,40.1,459,88.76,763.0
BAT-008,3.52,0.94,46.8,176,94.21,872.0
BAT-001,4.08,1.97,29.2,641,84.39,686.0
BAT-010,3.09,2.03,36.6,343,91.19,806.0
BAT-001,4.15,2.36,43.7,1069,71.17,423.0
BAT-004,3.79,0.56,32.5,359,90.56,798.0
BAT-008,3.46,2.24,25.0,711,82.79,667.0
BAT-005,3.24,1.55,34.2,577,84.52,692.0
BAT-002,3.58,1.77,21.7,589,84.31,707.0
BAT-006,3.23,1.79,48.3,468,85.71,712.0
BAT-005,3.2,2.14,22.2,493,86.69,702.0
BAT-002,3.74,1.17,33.2,734,80.9,633.0
BAT-003,3.63,1.97,35.9,889,74.9,503.0
BAT-009,3.8,1.56,49.6,285,90.76,822.0
BAT-007,4.12,2.09,25.0,263,91.79,826.0
BAT-007,3.64,2.48,23.4,134,96.25,925.0
BAT-006,3.7,0.9,20.3,843,79.43,590.0
BAT-008,3.11,2.49,24.7,134,97.44,946.0
BAT-004,3.86,0.68,26.2,114,97.7,937.0
BAT-008,3.48,0.5,38.9,712,81.13,650.0
BAT-004,4.17,0.59,26.6,676,81.82,645.0
BAT-008,3.99,1.18,20.6,113,98.16,967.0
BAT-009,3.63,1.77,44.8,988,72.22,458.0
BAT-003,3.15,0.64,31.0,968,76.3,532.0
BAT-003,4.03,0.51,30.6,540,86.57,725.0
BAT-002,3.96,2.37,29.1,362,91.9,851.0
BAT-010,3.22,2.14,49.3,664,81.0,628.0
BAT-003,3.35,2.12,25.1,968,74.97,493.0
BAT-003,3.95,2.27,46.9,862,74.96,507.0
BAT-005,3.22,1.9,43.3,989,72.26,443.0
BAT-005,4.1,0.71,22.3,1161,69.34,389.0
BAT-002,3.51,1.3,49.6,729,80.26,611.0
BAT-010,3.1,1.95,28.1,484,88.65,787.0
BAT-006,3.98,1.06,23.0,731,82.28,639.0
BAT-005,3.45,1.87,44.9,1123,69.9,402.0
BAT-006,3.63,0.55,41.2,389,90.72,834.0
BAT-001,3.13,1.11,38.5,396,88.65,771.0
BAT-005,3.0,1.6,24.7,695,82.85,659.0
BAT-009,3.77,1.76,34.4,698,81.57,651.0
BAT-010,3.62,1.65,43.4,294,90.47,816.0
BAT-002,3.71,1.9,29.1,158,96.27,911.0
BAT-001,3.95,0.51,29.4,582,84.38,680.0
BAT-010,3.78,0.7,20.1,1163,70.22,411.0
BAT-009,3.21,2.24,25.2,345,92.03,845.0
BAT-010,3.43,1.86,46.3,161,93.35,869.0
BAT-009,4.09,0.73,33.3,392,89.51,812.0
BAT-009,3.92,2.18,49.5,150,93.46,863.0
BAT-006,3.67,0.98,31.9,678,82.35,646.0
BAT-008,3.31,1.46,41.5,77,95.76,895.0
BAT-001,3.36,0.79,28.5,986,74.36,499.0
BAT-010,3.88,1.92,30.9,107,95.91,910.0
BAT-004,4.02,1.83,25.7,346,92.12,853.0
BAT-001,3.81,0.92,30.4,183,95.06,911.0
BAT-008,3.97,2.23,36.4,298,92.33,870.0
BAT-001,3.92,1.3,49.8,1070,71.8,442.0
BAT-003,3.18,1.09,39.9,599,83.07,658.0
BAT-004,3.51,0.8,26.0,951,77.01,545.0
BAT-008,3.18,1.03,21.3,1148,71.29,418.0
BAT-006,3.28,0.54,23.8,883,77.77,559.0
BAT-010,4.04,1.67,36.9,820,79.56,589.0
BAT-007,3.57,2.18,43.0,195,93.88,877.0
BAT-008,3.64,1.6,48.2,942,73.78,467.0
BAT-002,3.21,0.94,20.5,393,90.66,816.0
BAT-010,3.37,0.57,35.7,1108,69.97,408.0
BAT-008,3.28,0.93,34.1,751,80.56,595.0
BAT-003,3.25,1.33,39.7,50,95.78,909.0
BAT-007,3.77,2.02,36.8,202,92.79,857.0
BAT-003,3.31,0.88,40.6,478,87.07,718.0
BAT-007,3.76,1.94,39.7,557,81.93,656.0
BAT-002,3.07,2.23,23.5,1199,71.83,429.0
BAT-010,3.17,1.41,44.0,540,85.44,699.0
BAT-006,3.33,2.14,23.7,394,88.31,764.0
BAT-003,3.72,1.61,41.0,270,94.05,882.0
BAT-003,3.81,1.77,32.5,772,82.63,645.0
BAT-009,3.53,1.55,35.4,1098,71.33,436.0
BAT-007,3.53,1.43,47.1,577,82.44,653.0
BAT-005,3.87,0.97,46.7,890,77.27,537.0
BAT-010,3.02,1.11,44.5,1115,69.83,391.0
BAT-007,3.41,1.08,35.3,530,85.88,702.0
BAT-009,3.98,1.63,42.1,979,75.03,488.0
BAT-001,3.72,0.74,35.4,921,75.78,520.0
BAT-007,3.4,2.33,46.1,394,87.8,748.0
BAT-006,4.09,1.94,32.1,94,95.67,931.0
BAT-010,3.93,1.3,49.1,70,95.21,905.0
BAT-009,3.32,0.82,48.0,1143,68.87,364.0
BAT-001,3.77,2.26,42.2,922,73.99,468.0
BAT-004,3.71,2.15,28.4,97,96.09,932.0
BAT-009,3.48,1.94,23.9,600,85.03,700.0
BAT-004,3.44,1.04,45.6,336,87.69,764.0
BAT-010,3.41,1.3,25.0,1051,72.85,453.0
BAT-003,3.74,0.71,45.6,1083,72.81,451.0
BAT-009,3.53,0.88,34.7,591,83.91,689.0
BAT-002,4.0,2.07,32.2,805,78.68,565.0
BAT-004,3.8,1.93,47.1,323,89.37,792.0
BAT-006,3.08,1.69,38.1,1005,73.23,462.0
BAT-002,3.77,2.29,37.3,649,83.12,671.0
BAT-008,3.33,1.67,36.8,430,88.58,790.0
BAT-008,3.71,1.43,31.1,528,85.8,712.0
BAT-001,3.82,1.18,43.6,64,96.33,921.0
BAT-003,3.28,2.38,27.6,565,86.93,745.0
BAT-010,3.55,0.67,48.2,240,90.17,793.0
BAT-009,3.23,2.36,46.8,670,81.01,636.0
BAT-005,3.06,2.15,30.1,203,94.55,905.0
BAT-006,3.45,0.76,41.9,321,89.51,780.0
BAT-004,3.44,1.63,37.2,192,93.87,861.0
BAT-010,4.19,2.23,30.1,1142,70.03,389.0
BAT-002,3.54,1.64,49.7,296,90.77,804.0
BAT-008,3.4,2.31,20.8,837,77.74,563.0
BAT-006,3.7,2.39,27.6,128,97.6,968.0
BAT-005,3.11,1.34,35.6,672,82.07,649.0
BAT-009,4.15,1.25,35.7,574,84.14,680.0
BAT-001,3.76,2.37,37.7,821,77.2,547.0
BAT-005,3.91,1.85,42.6,987,74.6,483.0
BAT-006,3.2,0.73,38.7,1168,68.78,387.0
BAT-005,3.49,0.58,38.0,666,80.88,622.0
BAT-006,3.51,1.63,21.6,1081,74.03,488.0
BAT-006,3.99,2.36,31.3,116,95.57,904.0
BAT-007,3.0,2.19,27.0,240,93.71,873.0
BAT-004,3.36,1.85,28.0,817,80.1,609.0
BAT-008,4.18,0.78,36.6,570,84.74,709.0
BAT-007,3.57,1.01,26.0,1039,75.66,507.0
BAT-009,3.46,2.25,28.8,1190,69.03,388.0
BAT-007,3.14,0.87,27.1,316,91.68,826.0
BAT-003,4.17,1.06,48.5,534,84.17,705.0
BAT-003,3.02,0.76,48.3,425,87.66,749.0
BAT-008,3.88,1.85,38.3,702,82.41,655.0
BAT-005,3.92,2.39,47.7,598,82.85,659.0
BAT-004,3.29,1.04,43.6,1147,69.33,413.0
BAT-008,3.81,1.45,37.7,122,94.2,886.0
BAT-006,3.11,1.77,20.2,357,91.19,819.0
BAT-002,3.31,2.5,43.2,248,91.33,833.0
BAT-004,3.95,0.71,41.1,621,83.49,676.0
BAT-004,4.04,1.5,38.5,840,77.24,543.0
BAT-006,3.73,1.27,42.8,228,92.28,835.0
BAT-006,3.61,2.23,35.4,246,91.35,822.0
BAT-001,3.19,1.45,41.1,784,76.98,548.0
BAT-008,3.08,0.72,48.1,138,96.11,905.0
BAT-006,3.14,1.77,31.3,848,78.3,564.0
BAT-003,3.27,2.04,41.2,837,77.85,567.0
BAT-009,3.41,0.51,34.3,797,78.24,564.0
BAT-002,3.46,2.22,40.2,258,92.9,880.0
BAT-008,3.42,0.87,42.9,542,85.36,690.0
BAT-010,3.29,1.6,21.4,714,81.35,617.0
BAT-003,3.61,1.33,39.4,1086,70.35,384.0
BAT-005,3.99,1.94,26.8,920,76.09,542.0
BAT-006,3.34,1.24,40.1,781,78.94,569.0
BAT-010,4.13,2.24,34.0,1179,69.79,376.0
BAT-006,4.05,1.96,43.2,747,79.54,585.0
BAT-004,3.19,1.8,23.7,1172,72.0,426.0
BAT-003,3.94,2.09,38.8,643,81.83,631.0
BAT-004,3.69,2.01,28.4,935,75.2,504.0
BAT-001,3.68,0.57,45.6,901,75.42,516.0
BAT-004,3.47,1.29,47.9,374,86.67,732.0
BAT-001,3.6,2.36,49.9,1028,72.51,450.0
BAT-001,3.48,0.75,43.9,1005,73.08,456.0
BAT-010,3.65,1.97,42.6,943,74.33,471.0
BAT-006,3.75,2.45,26.5,193,94.63,874.0
BAT-005,3.81,0.6,30.1,433,89.58,788.0
BAT-004,3.64,1.86,34.0,265,93.36,868.0
BAT-003,3.87,1.44,43.2,373,88.61,768.0
BAT-001,3.17,1.66,47.4,1088,71.15,405.0
BAT-006,3.25,0.67,25.7,266,94.15,885.0
BAT-002,3.98,0.59,47.7,1000,73.07,478.0
BAT-008,3.39,1.83,40.9,232,92.41,847.0
BAT-010,3.03,2.15,38.3,319,91.07,816.0
BAT-005,3.18,2.06,26.0,994,74.01,480.0
BAT-007,3.27,1.59,21.7,919,77.1,531.0
BAT-010,4.15,0.7,37.1,516,85.66,702.0
BAT-002,3.69,1.88,39.5,354,89.31,791.0
BAT-008,4.12,0.98,26.3,160,94.14,893.0
BAT-002,3.69,2.32,36.7,1063,71.23,423.0
BAT-004,3.58,2.18,45.7,281,90.42,789.0
BAT-001,3.38,1.92,45.1,644,82.79,659.0
BAT-005,3.73,2.4,47.8,222,92.45,870.0
BAT-009,3.17,0.56,31.0,1022,74.79,493.0
BAT-001,4.08,1.97,29.5,1080,73.79,474.0
BAT-009,4.0,1.16,42.5,595,83.71,665.0
BAT-008,3.38,2.31,32.9,597,84.42,693.0
BAT-006,4.14,1.03,22.6,567,84.85,690.0
BAT-007,3.99,1.95,28.5,963,77.56,561.0
BAT-003,3.8,2.26,32.6,264,91.23,818.0
BAT-001,3.15,0.58,28.8,183,95.17,907.0
BAT-005,3.57,1.3,30.0,334,91.99,839.0
BAT-002,3.61,2.02,28.8,1199,70.49,425.0
BAT-005,3.28,1.41,21.2,735,80.47,613.0
BAT-008,3.1,1.03,39.1,380,88.67,787.0
BAT-009,3.93,0.94,37.9,1188,68.21,365.0
BAT-002,3.15,0.76,39.6,943,72.98,458.0
BAT-003,3.71,2.21,25.8,948,76.35,527.0
BAT-003,4.12,1.65,28.9,1148,70.2,396.0
BAT-001,4.05,0.65,38.6,127,96.97,945.0
BAT-008,3.33,1.27,38.0,996,74.42,481.0
BAT-006,4.02,1.24,35.2,737,80.6,613.0
BAT-008,3.0,0.86,30.5,70,97.23,953.0
BAT-009,3.02,1.37,47.4,615,82.5,666.0
BAT-005,3.72,1.16,30.2,876,77.32,548.0
BAT-003,3.44,1.18,33.7,228,93.5,879.0
BAT-005,3.46,1.98,40.3,1185,70.74,422.0
BAT-005,3.68,0.95,36.3,1132,69.51,386.0
BAT-005,3.23,1.78,30.4,954,75.44,530.0
BAT-003,3.25,1.64,33.1,718,81.95,633.0
BAT-010,3.58,1.64,43.8,240,91.72,835.0
BAT-004,3.91,1.83,28.3,757,82.32,661.0
BAT-009,3.74,1.6,24.3,1108,72.98,474.0
BAT-010,3.36,2.26,29.4,428,88.14,763.0
BAT-009,3.52,1.85,45.5,436,87.26,755.0
BAT-002,3.2,1.59,22.7,286,92.15,841.0
BAT-008,3.09,2.16,49.8,665,80.1,597.0
BAT-008,3.94,1.71,36.2,332,90.44,797.0
BAT-007,3.32,1.08,49.5,50,97.56,958.0
BAT-008,3.21,0.91,48.2,513,85.6,720.0
BAT-003,3.83,0.8,33.6,1016,73.72,469.0
BAT-006,3.74,2.3,26.0,221,95.16,906.0
BAT-001,3.76,1.92,24.9,1160,71.27,452.0
BAT-007,3.27,2.37,27.2,1196,68.71,386.0
BAT-001,3.28,1.71,41.3,892,75.92,509.0
BAT-009,3.26,1.45,28.2,739,81.13,633.0
BAT-001,3.21,0.62,30.2,624,84.64,684.0
BAT-001,3.79,1.84,33.5,214,93.24,836.0
BAT-007,4.02,1.66,47.4,432,86.05,721.0
BAT-002,3.87,2.48,25.7,258,93.44,884.0
BAT-005,3.95,0.98,20.2,273,92.53,865.0
BAT-008,3.49,1.56,21.8,52,98.38,971.0
BAT-008,3.78,1.8,47.1,421,87.18,738.0
BAT-003,3.43,1.79,39.4,660,81.67,638.0
BAT-007,3.63,1.62,28.2,165,96.52,928.0
BAT-003,3.58,2.05,25.3,496,88.98,775.0
BAT-006,3.21,0.91,28.8,464,88.88,788.0
BAT-006,3.46,1.95,23.4,1168,69.03,375.0
BAT-003,4.16,1.74,48.2,941,73.51,481.0
BAT-007,3.3,2.29,43.5,1097,70.54,405.0
BAT-003,3.16,2.19,33.9,712,79.47,610.0
BAT-008,3.5,1.13,45.9,1123,68.95,363.0
BAT-010,3.95,1.05,27.5,767,80.39,598.0
BAT-004,3.7,2.46,41.5,1152,69.1,380.0
BAT-001,3.82,1.55,45.7,1100,70.44,389.0
BAT-004,3.23,2.31,30.7,320,90.05,775.0
BAT-007,3.74,0.83,42.7,611,82.49,630.0
BAT-004,3.39,1.79,28.9,853,78.44,566.0
BAT-006,4.0,2.12,29.0,296,92.21,842.0
BAT-009,3.76,2.39,23.2,436,89.55,794.0
BAT-001,3.24,1.17,33.2,751,80.79,614.0
BAT-005,3.08,1.95,41.9,608,82.7,657.0
BAT-007,3.05,1.58,48.2,1022,72.25,440.0
BAT-001,3.45,0.62,38.1,1033,72.06,448.0
BAT-004,3.32,1.88,45.9,401,87.62,758.0
BAT-006,3.78,1.88,44.7,802,76.93,535.0
BAT-002,3.6,2.36,25.2,830,80.3,611.0
BAT-010,3.32,1.49,34.6,1074,71.92,436.0
BAT-005,3.18,0.96,23.5,595,86.19,709.0
BAT-010,3.15,0.59,40.5,128,95.57,920.0
BAT-001,4.04,1.33,48.5,383,87.19,735.0
BAT-006,3.29,1.1,24.1,938,76.8,545.0
BAT-006,3.78,2.02,42.0,1171,69.83,400.0
BAT-004,3.97,1.21,39.0,1155,69.65,392.0
BAT-008,3.74,2.4,37.5,551,85.05,682.0
BAT-004,4.03,2.42,31.7,814,78.43,584.0
BAT-008,3.47,1.74,30.7,970,75.21,501.0
BAT-008,4.15,2.36,21.4,599,85.26,712.0
BAT-005,3.16,2.02,26.5,63,97.69,953.0
BAT-004,3.12,1.59,20.5,441,87.9,755.0
BAT-002,3.79,0.86,37.4,359,91.07,823.0
BAT-003,4.13,1.42,23.2,435,89.73,795.0
BAT-003,3.97,1.62,46.2,1023,71.76,432.0
BAT-004,3.09,2.23,35.7,1167,69.98,399.0
BAT-004,3.34,1.46,41.0,1166,67.77,360.0
BAT-010,4.12,2.3,32.3,389,87.57,756.0
